,Predicted_Class_k,R_k,N_k,Acc_k,Conf_k,ECE_k,Calibration_Bias_k
0,0,23554,35798,0.6579697189787139,0.732924349053862,0.07495463007514402,0.07495463007514802
1,1,123,453,0.271523178807947,0.4443531015231786,0.17282992271523187,0.17282992271523157
2,2,1336,2697,0.4953652206154987,0.5482437709195394,0.055310620411568236,0.05287855030404065
3,3,1104,1939,0.5693656523981434,0.5899335400309437,0.04964675589479121,0.020567887632800264
4,4,212,378,0.5608465608465608,0.486435790846561,0.10251838211640213,-0.07441076999999979
5,5,20,59,0.3389830508474576,0.41925211864406786,0.1443535033898305,0.08026906779661025
6,6,2207,3092,0.713777490297542,0.7319235013421754,0.0370310680562741,0.018146011044633426
7,7,0,15,0.0,0.3825037266666667,0.38250372666666665,0.3825037266666667
8,8,13,97,0.13402061855670103,0.3086580624742268,0.17463744391752575,0.17463744391752575
9,9,5929,8786,0.6748235829729115,0.7724310788538572,0.09772743052014629,0.09760749588094575
10,10,1277,2513,0.5081575805809789,0.5711984613808199,0.06304088079984078,0.06304088079984094
11,11,288,886,0.32505643340857787,0.3752093833058693,0.08538746951580131,0.05015294989729141
12,12,924,2444,0.3780687397708674,0.46755084328150603,0.09460616788052352,0.08948210351063862
13,13,1451,3070,0.4726384364820847,0.44200805871986965,0.0537530029934853,-0.030630377762215055
14,14,277,1200,0.23083333333333333,0.43202380737499985,0.2011904740416667,0.2011904740416665
15,15,1610,3265,0.49310872894333846,0.5315326494548243,0.04199372437672287,0.0384239205114858
16,16,0,0,,,,
17,17,165,488,0.33811475409836067,0.35828666116803226,0.117768830307377,0.02017190706967159
18,18,317,1538,0.20611183355006502,0.4054645159167749,0.19935268236671,0.1993526823667099
19,19,217,1013,0.21421520236920039,0.33734633447778856,0.12313113210858834,0.12313113210858817
20,20,4210,6615,0.636432350718065,0.6601191327210876,0.04314716386243371,0.023686782003022544
21,21,1854,3791,0.4890530203112635,0.5744542159245591,0.08582413826694797,0.08540119561329562
22,22,2911,4305,0.6761904761904762,0.6930490458815322,0.029471153542392263,0.016858569691055925
23,23,901,1814,0.4966923925027563,0.5553078676515979,0.07055230405733161,0.05861547514884158
24,24,0,0,,,,
25,25,509,1306,0.389739663093415,0.5261141806814694,0.1386773776646249,0.1363745175880544
26,26,12751,17386,0.7334061888876107,0.7956235494829174,0.06237561077245908,0.06221736059530669
