,Predicted_Class_k,R_k,N_k,Acc_k,Conf_k,ECE_k,Calibration_Bias_k
0,lion,78,92,0.8478260869565217,0.8693380434782606,0.06301847826086948,0.021511956521738873
1,chimpanzee,84,97,0.865979381443299,0.8905886597938143,0.05067113402061853,0.024609278350515296
2,trout,81,97,0.8350515463917526,0.886648453608247,0.11239072164948435,0.05159690721649435
3,orchid,86,104,0.8269230769230769,0.899076923076923,0.09370961538461497,0.07215384615384612
4,cloud,84,101,0.8316831683168316,0.8817742574257422,0.08695049504950483,0.05009108910891058
5,maple_tree,61,97,0.6288659793814433,0.7846123711340207,0.15740618556701036,0.15574639175257743
6,elephant,67,84,0.7976190476190477,0.853158333333333,0.08970357142857127,0.05553928571428535
7,mushroom,75,90,0.8333333333333334,0.8854044444444442,0.07747999999999987,0.052071111111110846
8,bus,62,86,0.7209302325581395,0.8487348837209301,0.12780465116279058,0.1278046511627906
9,orange,90,104,0.8653846153846154,0.9402778846153841,0.09216634615384607,0.07489326923076867
10,cockroach,79,94,0.8404255319148937,0.897512765957447,0.0625340425531917,0.057087234042553336
11,shark,61,107,0.5700934579439252,0.7465728971962616,0.18032056074766356,0.17647943925233645
12,palm_tree,87,94,0.925531914893617,0.9232925531914888,0.019258510638297657,-0.0022393617021281287
13,television,85,113,0.7522123893805309,0.8839920353982298,0.13498672566371664,0.13177964601769887
14,clock,74,95,0.7789473684210526,0.8594789473684213,0.11609789473684201,0.08053157894736873
15,otter,48,95,0.5052631578947369,0.7207505263157893,0.2203231578947369,0.21548736842105243
16,cup,77,90,0.8555555555555555,0.9066599999999996,0.07017999999999988,0.051104444444444064
17,poppy,81,110,0.7363636363636363,0.8515490909090907,0.11518545454545448,0.11518545454545437
18,aquarium_fish,87,99,0.8787878787878788,0.8986505050505044,0.07156161616161598,0.019862626262625582
19,possum,52,80,0.65,0.7518324999999999,0.10838,0.10183249999999988
20,lamp,73,118,0.6186440677966102,0.7962457627118641,0.1857932203389831,0.1776016949152539
21,mouse,65,109,0.5963302752293578,0.7747403669724767,0.2171036697247707,0.17841009174311895
22,pine_tree,65,88,0.7386363636363636,0.7784170454545459,0.10145113636363638,0.039780681818182284
23,table,65,93,0.6989247311827957,0.8243139784946234,0.13778709677419343,0.12538924731182766
24,house,75,92,0.8152173913043478,0.8732130434782605,0.1327347826086956,0.05799565217391267
25,turtle,64,100,0.64,0.8068469999999999,0.17612699999999987,0.16684699999999986
26,sweet_pepper,74,100,0.74,0.8412989999999997,0.10722099999999977,0.1012989999999997
27,pear,85,121,0.7024793388429752,0.8414223140495869,0.14178429752066102,0.1389429752066117
28,streetcar,73,99,0.7373737373737373,0.8533292929292928,0.11595555555555546,0.11595555555555548
29,telephone,73,86,0.8488372093023255,0.897070930232558,0.06511046511627885,0.04823372093023248
30,whale,71,98,0.7244897959183674,0.8405214285714285,0.14232755102040823,0.11603163265306116
31,bicycle,92,104,0.8846153846153846,0.9097144230769229,0.05001634615384584,0.02509903846153827
32,sunflower,94,99,0.9494949494949495,0.943422222222222,0.054670707070706925,-0.006072727272727452
33,lizard,51,119,0.42857142857142855,0.7141957983193281,0.2856243697478992,0.28562436974789956
34,couch,61,108,0.5648148148148148,0.7563814814814811,0.19156666666666666,0.19156666666666633
35,tiger,83,100,0.83,0.8763120000000002,0.07653000000000007,0.04631200000000024
36,butterfly,65,79,0.8227848101265823,0.8446088607594933,0.1380645569620254,0.02182405063291093
37,hamster,80,98,0.8163265306122449,0.8970285714285714,0.1042326530612242,0.08070204081632648
38,worm,76,103,0.7378640776699029,0.8883067961165044,0.15568543689320394,0.1504427184466015
39,tulip,69,89,0.7752808988764045,0.8348999999999999,0.13231123595505612,0.059619101123595364
40,lobster,64,96,0.6666666666666666,0.7853916666666668,0.16341041666666678,0.11872500000000019
41,tractor,89,110,0.8090909090909091,0.8918699999999997,0.09335727272727246,0.08277909090909064
42,spider,81,104,0.7788461538461539,0.8700903846153845,0.11101730769230755,0.0912442307692306
43,woman,60,109,0.5504587155963303,0.7030165137614676,0.1525577981651377,0.15255779816513726
44,seal,52,104,0.5,0.6631749999999996,0.1774615384615385,0.16317499999999963
45,bear,61,111,0.5495495495495496,0.7427711711711712,0.1932216216216216,0.1932216216216216
46,tank,89,111,0.8018018018018018,0.8681351351351352,0.07138198198198197,0.06633333333333336
47,fox,76,92,0.8260869565217391,0.8466847826086952,0.11277826086956512,0.02059782608695604
48,beaver,59,96,0.6145833333333334,0.7670822916666666,0.19037395833333345,0.15249895833333327
49,cattle,73,113,0.6460176991150443,0.7894725663716814,0.14345486725663703,0.14345486725663714
