,Predicted_Class_k,R_k,N_k,Acc_k,Conf_k,ECE_k,Calibration_Bias_k
0,0,1992,3516,0.5665529010238908,0.7067604209783852,0.14292852941410705,0.14020751995449443
1,1,0,11,0.0,0.39668588636363644,0.39668588636363644,0.39668588636363644
2,2,71,154,0.461038961038961,0.5215123735714283,0.11642982110389612,0.0604734125324673
3,3,64,161,0.39751552795031053,0.5681721889440993,0.3081096321739131,0.17065666099378873
4,4,12,24,0.5,0.4773514645833333,0.22447159208333334,-0.022648535416666726
5,5,1,5,0.2,0.3709686179999999,0.371580126,0.1709686179999999
6,6,97,172,0.563953488372093,0.6730276390697675,0.14491820267441866,0.10907415069767445
7,7,0,1,0.0,0.22716564,0.22716564,0.22716564
8,8,0,0,,,,
9,9,589,920,0.6402173913043478,0.7604919095000001,0.12027451819565202,0.12027451819565227
10,10,5,48,0.10416666666666667,0.45631666791666653,0.35363870791666674,0.35215000124999984
11,11,12,121,0.09917355371900827,0.4354250604958676,0.35757959520661164,0.33625150677685933
12,12,51,119,0.42857142857142855,0.3501565134453781,0.10022687815126048,-0.07841491512605042
13,13,202,513,0.3937621832358674,0.45484745315789477,0.096476009883041,0.06108526992202734
14,14,29,347,0.08357348703170028,0.5089777855331411,0.4254042985014409,0.4254042985014408
15,15,285,397,0.7178841309823678,0.5195781323929468,0.1983059985894207,-0.198305998589421
16,16,0,0,,,,
17,17,9,95,0.09473684210526316,0.4023468211578948,0.30760997905263154,0.3076099790526316
18,18,58,222,0.26126126126126126,0.3326565609459458,0.10096190400900898,0.07139529968468455
19,19,2,20,0.1,0.227127347,0.19208540000000002,0.127127347
20,20,397,731,0.5430916552667578,0.6801340451299595,0.16178072606019153,0.1370423898632016
21,21,202,439,0.4601366742596811,0.5459198533712984,0.0857831791116173,0.08578317911161737
22,22,365,450,0.8111111111111111,0.6732369592444444,0.13787415186666666,-0.13787415186666674
23,23,57,155,0.36774193548387096,0.5539299498709677,0.1880848777419355,0.1861880143870967
24,24,0,0,,,,
25,25,32,97,0.32989690721649484,0.49376112927835064,0.1638642220618557,0.1638642220618558
26,26,1161,1376,0.84375,0.815563059324128,0.028728665850290578,-0.02818694067587202
