,Predicted_Class_k,R_k,N_k,Acc_k,Conf_k,ECE_k,Calibration_Bias_k
0,0,1697,1760,0.9642045454545455,0.977735690556818,0.014886468306817927,0.01353114510227249
1,1,4998,5173,0.9661705006765899,0.9810186469302138,0.01592920732456899,0.01484814625362385
2,2,4032,4122,0.9781659388646288,0.9806713949611842,0.005740093612324609,0.002505456096555392
3,3,2727,2849,0.9571779571779572,0.9723944505756414,0.01792739389610612,0.015216493397684272
4,4,2464,2529,0.974298141557928,0.9847499873665467,0.010451845808619355,0.010451845808618687
5,5,2289,2364,0.9682741116751269,0.9806744279780035,0.012400316302875684,0.012400316302876635
6,6,1903,1974,0.96403242147923,0.9745846079229993,0.011496198399189635,0.010552186443769318
7,7,1924,1978,0.9726996966632963,0.975302191390294,0.007234119448938778,0.002602494726997695
8,8,1612,1664,0.96875,0.9742637755829331,0.007328702770432388,0.005513775582933089
9,9,1541,1619,0.9518221124150711,0.9747224366831366,0.022900324268065674,0.02290032426806554
